Date,Symbol,Open,High,Low,Close,Volume,Turnover
1/3/2000,AXISBANK,26.7,26.7,26.7,26.7,112100,299307000000.00
1/4/2000,AXISBANK,27,28.7,26.5,26.85,234500,638727500000.00
1/5/2000,AXISBANK,26,27.75,25.5,26.3,170100,446298000000.00
1/6/2000,AXISBANK,25.8,27,25.8,25.95,102100,268173000000.00
1/7/2000,AXISBANK,25,26,24.25,24.8,62600,156722000000.00
1/10/2000,AXISBANK,25.05,26.5,25,25,64200,162334000000.00
1/11/2000,AXISBANK,24.25,24.8,23,23.2,91700,219172500000.00
1/12/2000,AXISBANK,22.6,24.5,22.6,24,32500,77913500000.00
1/13/2000,AXISBANK,24.5,24.5,23.1,23.6,48300,114795500000.00
1/14/2000,AXISBANK,24,24.2,22.5,23.25,30700,71142500000.00
1/17/2000,AXISBANK,24.5,25.15,24.25,25.15,82400,206737500000.00
1/18/2000,AXISBANK,26.5,26.5,24.3,24.9,110400,275380500000.00
1/19/2000,AXISBANK,24.75,26,24.75,25.6,89300,228266500000.00
1/20/2000,AXISBANK,26.1,26.25,24.3,24.45,103500,259230500000.00
1/21/2000,AXISBANK,25,25.3,24.3,25.1,47300,117257500000.00
1/24/2000,AXISBANK,25.6,25.75,24.6,24.8,102400,256269000000.00
1/25/2000,AXISBANK,25,25.4,24.05,25.05,131700,327898500000.00
1/27/2000,AXISBANK,25.85,27.05,25.25,27.05,201400,539745500000.00
1/28/2000,AXISBANK,28,29.25,27.1,29.25,311600,905025000000.00
1/31/2000,AXISBANK,31,31.6,30.1,31.6,317000,996993000000.00
2/1/2000,AXISBANK,32.95,34.15,32.95,34.15,201000,685569000000.00
2/2/2000,AXISBANK,36.9,36.9,36.9,36.9,65800,242802000000.00
2/3/2000,AXISBANK,39.85,39.85,39.85,39.85,160400,639194000000.00
2/4/2000,AXISBANK,43.05,43.05,43.05,43.05,60700,261313500000.00
2/7/2000,AXISBANK,46.5,46.5,39.65,39.65,790600,3237276000000.00
2/8/2000,AXISBANK,38,40.75,37,37.95,434100,1645559000000.00
2/9/2000,AXISBANK,39.5,40,35.05,36.05,284200,1045190000000.00
2/10/2000,AXISBANK,37.5,38.95,36.5,38.95,214000,820385500000.00
2/11/2000,AXISBANK,42.1,42.1,42.1,42.1,129700,546037000000.00
