Symbol ,Date,Open,High,Low,Close,Volume
JPM,1/3/2000,49.83,50.25,48.08,48.58,12019200
JPM,1/4/2000,47.08,47.46,46.13,47.25,11723400
JPM,1/5/2000,46.83,48.38,46,46.96,8714500
JPM,1/6/2000,46.75,48.63,46.5,47.63,8369200
JPM,1/7/2000,48.42,49,47.33,48.5,6571900
JPM,1/10/2000,48.5,48.92,47.67,47.67,4723500
JPM,1/11/2000,46.67,46.96,45.5,46.54,8405500
JPM,1/12/2000,46.46,47.25,46.33,46.83,7271800
JPM,1/13/2000,47.42,48.33,47.04,47.54,6918900
JPM,1/14/2000,49.29,50.5,48.54,49.25,9731800
JPM,1/18/2000,49.29,49.67,46.83,47.33,5296600
JPM,1/19/2000,48.17,50.25,48.17,49.42,15734700
JPM,1/20/2000,50.25,50.67,48.5,49.38,7770300
JPM,1/21/2000,49.25,49.33,48.42,48.63,5160600
JPM,1/24/2000,49.58,49.71,48.13,48.67,6459100
JPM,1/25/2000,48.67,50.5,48.67,49.75,7579900
JPM,1/26/2000,50.25,52.67,50,52.29,8386600
JPM,1/27/2000,52.96,54.33,52.38,53.79,8165800
JPM,1/28/2000,53.04,53.04,51.08,51.13,7500000
JPM,1/31/2000,51.21,54.33,51.21,53.79,7160200
JPM,2/1/2000,54.96,56.33,54.21,55.83,9651000
JPM,2/2/2000,55.33,56.13,54.25,54.92,7126200
JPM,2/3/2000,55.67,56.58,53.5,55.46,9200200
JPM,2/4/2000,55,55.54,54.38,54.5,5115100
JPM,2/7/2000,54.79,55.58,54.5,54.79,4684200
JPM,2/8/2000,56.04,57.42,56,56.71,6318600
JPM,2/9/2000,56.63,57.58,54.96,55.25,9818500
JPM,2/10/2000,55.42,55.83,54.25,55.42,6880500
JPM,2/11/2000,55.5,56.67,54.67,55.08,7052500
JPM,2/14/2000,54.83,55.63,52.71,52.71,5904700
JPM,2/15/2000,53.38,55,53.08,54.04,8965500
JPM,2/16/2000,54,54.79,52.67,53,4829700
JPM,2/17/2000,53.75,54.33,51.88,52.25,5716200
JPM,2/18/2000,52.04,52.38,49.71,49.83,8121300
JPM,2/22/2000,50.67,52.58,50.08,51.5,7068600
JPM,2/23/2000,51.58,52.79,51.04,51.58,4452900
JPM,2/24/2000,51.5,51.71,49.75,50.67,5199900
JPM,2/25/2000,51.08,52.5,49.92,50.58,4644300
JPM,2/28/2000,51.17,53.5,50.92,51.96,6051000
JPM,2/29/2000,51.79,54,51.79,53.08,6166900
JPM,3/1/2000,53.25,54.67,52.58,54.67,4866300
JPM,3/2/2000,53.67,54.08,53.17,53.71,3583800
JPM,3/3/2000,54.67,54.92,52.92,54.08,5981400
JPM,3/6/2000,55.29,56.25,54.83,55.63,5691400
JPM,3/7/2000,55.63,56.13,54,54.54,4566900
JPM,3/8/2000,53.83,54.29,52.42,52.67,5247700
JPM,3/9/2000,52.5,54.17,52.04,54.08,3979500
JPM,3/10/2000,53.33,54.38,51.83,52.46,5311300
JPM,3/13/2000,51.75,54.13,51.42,53.38,4723300
JPM,3/14/2000,53.67,53.96,52.33,52.67,4129600
JPM,3/15/2000,51.92,56.13,51.46,55.42,8861700
JPM,3/16/2000,56.63,60.25,56.13,60.08,15634900
JPM,3/17/2000,59.5,61.5,59,60.67,11889100
JPM,3/20/2000,60,60.33,56.33,57.71,8076100
JPM,3/21/2000,57.63,61.67,57,61.33,8345500
JPM,3/22/2000,60.42,61.42,59.17,61.04,8604100
JPM,3/23/2000,60.67,66.13,60.63,65.67,10431400
JPM,3/24/2000,64.67,67.17,64,64.13,9489000
JPM,3/27/2000,64,64.58,62.38,63.13,4828900
JPM,3/28/2000,62.5,63.83,62.08,62.83,7325700
JPM,3/29/2000,62.83,63,59.54,60.25,9088300
JPM,3/30/2000,59.63,60.5,57.29,58,8017200
JPM,3/31/2000,58.67,58.92,57.33,58.13,6805000
JPM,4/3/2000,58.63,62,58.54,61.67,8509500
JPM,4/4/2000,61,61.25,55.33,57.83,12638700
JPM,4/5/2000,56.17,57.96,56.17,57.58,7310700
JPM,4/6/2000,58,58.83,57.88,58.29,4853400
JPM,4/7/2000,58.83,58.83,57.33,57.58,4914100
JPM,4/10/2000,57,59.38,56.75,58.75,7864900
JPM,4/11/2000,58,58.58,56.67,57.33,8217100
JPM,4/12/2000,58.63,60.63,57.67,57.88,9133300
JPM,4/13/2000,57.33,57.83,56.17,56.33,6781000
JPM,4/14/2000,54.67,54.92,50.5,52.58,13084500
JPM,4/17/2000,51.67,52.96,49.96,52.42,8708700
JPM,4/18/2000,52.17,53.96,52.04,53.67,6833400
JPM,4/19/2000,53.83,54,50.42,52,9057100
JPM,4/20/2000,52.08,52.13,50.83,51.54,4540600
JPM,4/24/2000,50.67,50.96,49.63,49.83,7792800
JPM,4/25/2000,50.5,52.38,50.17,52.04,6327100
JPM,4/26/2000,52.5,52.5,50.79,50.96,5500500
JPM,4/27/2000,50.08,50.33,48.88,49.25,9298200
JPM,4/28/2000,49.5,49.79,47.83,48.08,8603200
JPM,5/1/2000,48.33,50.25,47.71,49.17,8439700
JPM,5/2/2000,49.21,51.33,48.92,50.75,8411200
JPM,5/3/2000,50.13,51.17,49.5,49.5,9320500
JPM,5/4/2000,50.08,50.29,48.58,48.83,6172200
JPM,5/5/2000,48,48.5,47,48.13,14505100
JPM,5/8/2000,47.75,48.79,47.54,48,5497600
JPM,5/9/2000,48.17,48.46,47.25,47.25,6378000
JPM,5/10/2000,47.13,47.13,45.83,45.83,6616000
JPM,5/11/2000,46.71,47.13,45.67,46.67,7853100
JPM,5/12/2000,46.08,48.58,45.42,47.75,12221800
JPM,5/15/2000,48.5,50.13,48.04,49.75,6703200
JPM,5/16/2000,51.08,51.13,49.13,49.5,7925100
JPM,5/17/2000,48.83,49.96,48.71,49.33,4350600
JPM,5/18/2000,49.17,50.92,49.17,50.08,5156200
JPM,5/19/2000,49.75,49.96,48.17,48.33,5114500
JPM,5/22/2000,48.83,48.83,47,48.13,4164600
JPM,5/23/2000,47.96,49.71,47.96,48.75,5208700
JPM,5/24/2000,48.33,48.96,47,47.75,8573100
JPM,5/25/2000,48,49.17,46.5,46.83,7721400
JPM,5/26/2000,46.92,47.5,46.25,47,6163900
JPM,5/30/2000,47.75,49,47.42,49,4197700
JPM,5/31/2000,48.67,50.25,48.67,49.79,4983100
JPM,6/1/2000,50.58,52.17,50.29,51.42,8779600
JPM,6/2/2000,54.92,54.92,53.33,53.79,8867400
JPM,6/5/2000,53.67,54.08,52.83,52.92,4890400
JPM,6/6/2000,52.92,52.92,51,51.33,5546800
JPM,6/7/2000,51.63,52.29,51.08,51.25,5901100
JPM,6/8/2000,51.79,51.79,50.25,51,3975100
JPM,6/9/2000,51.33,52.42,47.58,48.88,10294900
JPM,6/12/2000,49.38,49.75,48.19,48.59,5142600
JPM,6/13/2000,48.38,48.5,47.63,48.19,5649900
JPM,6/14/2000,48.88,50.38,48.25,50.06,5920600
JPM,6/15/2000,49.81,49.88,46.63,48.81,9911800
JPM,6/16/2000,46.75,46.94,44.13,45.44,16619900
JPM,6/19/2000,45.38,47.38,45.13,46.88,7731000
